audit_method,bootstrap_ci95_high,bootstrap_ci95_low,ci95_high,ci95_low,failure_detection_rate,mean_risk_ucb,n,track
ADCU,1.0,1.0,1.0,1.0,1.0,0.7857,18,DenseRAG
ExtractionAudit,0.0,0.0,0.0,0.0,0.0,0.5635,18,DenseRAG
InfluenceProxy,1.0,1.0,1.0,1.0,1.0,0.7858,18,DenseRAG
MembershipInference,1.0,1.0,1.0,1.0,1.0,0.7857,18,DenseRAG
RetrieverHit,1.0,1.0,1.0,1.0,1.0,0.7858,18,DenseRAG
ADCU,1.0,1.0,1.0,1.0,1.0,0.7557,12,LoRA-SFT
ADCU-NoValuation,1.0,1.0,1.0,1.0,1.0,0.7557,12,LoRA-SFT
CanaryOnly,1.0,1.0,1.0,1.0,1.0,0.7474,12,LoRA-SFT
ExactMatch,1.0,1.0,1.0,1.0,1.0,0.8048,12,LoRA-SFT
RetrieverHit,0.0,0.0,0.0,0.0,0.0,0.4327,12,LoRA-SFT
UniformProbes,1.0,1.0,1.0,1.0,1.0,0.7557,12,LoRA-SFT
ADCU,1.0,1.0,1.0,1.0,1.0,0.7661,1,PEFT-LoRA
CanaryOnly,1.0,1.0,1.0,1.0,1.0,0.8016,1,PEFT-LoRA
ExactMatch,1.0,1.0,1.0,1.0,1.0,0.9066,1,PEFT-LoRA
ExtractionAudit,0.0,0.0,0.0,0.0,0.0,0.5464,1,PEFT-LoRA
InfluenceProxy,1.0,1.0,1.0,1.0,1.0,0.8482,1,PEFT-LoRA
MembershipInference,1.0,1.0,1.0,1.0,1.0,0.9195,1,PEFT-LoRA
RetrieverHit,0.0,0.0,0.0,0.0,0.0,0.3736,1,PEFT-LoRA
ADCU,1.0,1.0,1.0,1.0,1.0,0.4319,18,Pretrained-LoRA
ExtractionAudit,1.0,1.0,1.0,1.0,1.0,0.4045,18,Pretrained-LoRA
InfluenceProxy,1.0,1.0,1.0,1.0,1.0,0.44,18,Pretrained-LoRA
MembershipInference,1.0,1.0,1.0,1.0,1.0,0.4645,18,Pretrained-LoRA
ADCU,1.0,1.0,1.0,1.0,1.0,0.6434,2,Qwen-TOFU-LoRA
ExtractionAudit,0.0,0.0,0.0,0.0,0.0,0.5249,2,Qwen-TOFU-LoRA
InfluenceProxy,1.0,1.0,1.0,1.0,1.0,0.6845,2,Qwen-TOFU-LoRA
MembershipInference,1.0,1.0,1.0,1.0,1.0,0.6845,2,Qwen-TOFU-LoRA
